;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
stupidcake17;n0lansn;;;;;;;;;;;;;Mentions;26/05/2022 13:45;RT @N0lansn: #SafeTF2 valve, listen to us please https://t.co/5W2pdBfTXF;;;safetf2;26/05/2022 13:45;https://twitter.com/#!/stupidcake17/status/1529821037801533441;;;1529821037801533441;
stupidcake17;casimiroxd2004;;;;;;;;;;;;;Mentions;26/05/2022 13:45;"RT @CasimiroXd2004: #SafeTF2 
Please do something with the bots
The only thing that I want";;;safetf2;26/05/2022 13:45;https://twitter.com/#!/stupidcake17/status/1529821063554641925;;;1529821063554641925;
stupidcake17;anev83356030;;;;;;;;;;;;;Mentions;26/05/2022 13:45;"RT @ANEV83356030: https://t.co/2bWqmrgbhx

WE NEED YOU

#SafeTF2 https://t.co/lhxtvSuM2H";https://steamcommunity.com/sharedfiles/filedetails/?id=2812899796;steamcommunity.com;safetf2;26/05/2022 13:45;https://twitter.com/#!/stupidcake17/status/1529821085444714496;;;1529821085444714496;
stupidcake17;adam96557402;;;;;;;;;;;;;Mentions;26/05/2022 13:45;RT @Adam96557402: #SafeTF2 https://t.co/dSGYbk3YQI;;;safetf2;26/05/2022 13:45;https://twitter.com/#!/stupidcake17/status/1529821112493756421;;;1529821112493756421;
stupidcake17;karmecld;;;;;;;;;;;;;Mentions;26/05/2022 13:45;"RT @Karmecld: Tf2 - das spiel das mich seit neun Jahren begleitet und mich maßgeblich in meiner Entwicklung beeinflusst hat.
Und was macht…";;;;26/05/2022 13:45;https://twitter.com/#!/stupidcake17/status/1529821150523469824;;;1529821150523469824;
stupidcake17;system64exe;;;;;;;;;;;;;Mentions;26/05/2022 13:46;RT @System64exe: #SafeTF2 We want to play with real people, we don’t want bots! https://t.co/kdfB0YXecD;;;safetf2;26/05/2022 13:46;https://twitter.com/#!/stupidcake17/status/1529821183075422208;;;1529821183075422208;
stupidcake17;ishipaelmaldito;;;;;;;;;;;;;Mentions;26/05/2022 13:46;"RT @Ishipaelmaldito: Some propaganda here
#SafeTF2 https://t.co/SdEYnKgtfX";;;safetf2;26/05/2022 13:46;https://twitter.com/#!/stupidcake17/status/1529821255922159617;;;1529821255922159617;
lildiesel5;lildiesel5;;;;;;;;;;;;;Tweet;26/05/2022 13:47;I haven’t played tf2 in years but man nothing will ever compare to the magical experience of playing this game back… https://t.co/NAuZtTV5dl;https://twitter.com/i/web/status/1529821424390742017;twitter.com;;26/05/2022 13:47;https://twitter.com/#!/lildiesel5/status/1529821424390742017;;;1529821424390742017;
karmecld;karmecld;;;;;;;;;;;;;Tweet;26/05/2022 12:53;"Tf2 - das spiel das mich seit neun Jahren begleitet und mich maßgeblich in meiner Entwicklung beeinflusst hat.
Und… https://t.co/RXsfgfkH21";https://twitter.com/i/web/status/1529807934066139136;twitter.com;;26/05/2022 12:53;https://twitter.com/#!/karmecld/status/1529807934066139136;;;1529807934066139136;
midnos14;karmecld;;;;;;;;;;;;;Mentions;26/05/2022 12:54;"RT @Karmecld: Tf2 - das spiel das mich seit neun Jahren begleitet und mich maßgeblich in meiner Entwicklung beeinflusst hat.
Und was macht…";;;;26/05/2022 12:54;https://twitter.com/#!/midnos14/status/1529808180796071941;;;1529808180796071941;
idiotxddd1;idiotxddd1;;;;;;;;;;;;;Tweet;26/05/2022 12:28;#SafeTF2 i cant go into a server without being kicked;;;safetf2;26/05/2022 12:28;https://twitter.com/#!/idiotxddd1/status/1529801571692957697;;;1529801571692957697;
midnos14;idiotxddd1;;;;;;;;;;;;;Mentions;26/05/2022 12:54;RT @idiotxddd1: #SafeTF2 i cant go into a server without being kicked;;;safetf2;26/05/2022 12:54;https://twitter.com/#!/midnos14/status/1529808273301553154;;;1529808273301553154;
whymemelord;whymemelord;;;;;;;;;;;;;Tweet;26/05/2022 12:18;TF2 Means a lot to me. I've played it a ton and I hate seeing the game in the state it's in. I mean, My pfp is lite… https://t.co/URMms9p26E;https://twitter.com/i/web/status/1529799016879648768;twitter.com;;26/05/2022 12:18;https://twitter.com/#!/whymemelord/status/1529799016879648768;;;1529799016879648768;
midnos14;whymemelord;;;;;;;;;;;;;Mentions;26/05/2022 13:48;RT @whymemelord: TF2 Means a lot to me. I've played it a ton and I hate seeing the game in the state it's in. I mean, My pfp is literally a…;;;;26/05/2022 13:48;https://twitter.com/#!/midnos14/status/1529821731128348674;;;1529821731128348674;
midnos14;dude_stay;;;;;;;;;;;;;Mentions;25/05/2022 17:38;RT @dude_stay: Plz help us save the this game from crazy bots and help join the tf2 community. #SafeTF2 https://t.co/YzjzgfiUe9;;;safetf2;25/05/2022 17:38;https://twitter.com/#!/midnos14/status/1529517366085828609;;;1529517366085828609;
midnos14;time5747;;;;;;;;;;;;;Mentions;25/05/2022 17:39;RT @time5747: #safetf2 We already wait a long time VALVE is time to have an improvement #safetf2;;;safetf2 safetf2;25/05/2022 17:39;https://twitter.com/#!/midnos14/status/1529517486256816128;;;1529517486256816128;
midnos14;filippecak;;;;;;;;;;;;;Mentions;25/05/2022 17:39;RT @FilipPecak: Hi people. Let's save #SafeTF2  from the hands of neglect VLAVe. I got to know this action during a YouTube post @daliggows…;;;safetf2;25/05/2022 17:39;https://twitter.com/#!/midnos14/status/1529517599100481537;;;1529517599100481537;
midnos14;crazycold739;;;;;;;;;;;;;Mentions;25/05/2022 17:40;RT @CraZyCold739: I had the best gaming and most memorable experience a few years ago in tf2. Still to this day I enjoy playing it eventhou…;;;;25/05/2022 17:40;https://twitter.com/#!/midnos14/status/1529517771679223812;;;1529517771679223812;
midnos14;ritzin3;;;;;;;;;;;;;Mentions;25/05/2022 17:41;RT @Ritzin3: #saveTF2 #safeTF2;;;savetf2 safetf2;25/05/2022 17:41;https://twitter.com/#!/midnos14/status/1529518070779224066;;;1529518070779224066;
midnos14;midnos14;;;;;;;;;;;;;Tweet;25/05/2022 17:47;#SafeTF2;;;safetf2;25/05/2022 17:47;https://twitter.com/#!/midnos14/status/1529519549573390337;;;1529519549573390337;
midnos14;crazycold739;;;;;;;;;;;;;Mentions;26/05/2022 12:52;RT @CraZyCold739: I associate with this game not only my entire childhood but also positive experiences with honestly one of the best commu…;;;;26/05/2022 12:52;https://twitter.com/#!/midnos14/status/1529807688569331712;;;1529807688569331712;
midnos14;bombineer;;;;;;;;;;;;;Mentions;26/05/2022 12:52;RT @bombineer: Started tf2 in 2014, but still loving it and want to go back to casuals with out the problem of bots. So lets #SafeTF2 Valve…;;;safetf2;26/05/2022 12:52;https://twitter.com/#!/midnos14/status/1529807794647486466;;;1529807794647486466;
midnos14;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 12:52;RT @ZoomvieX: @valvesoftware please #SafeTF2 https://t.co/xyR7Q5BwRW;;;safetf2;26/05/2022 12:52;https://twitter.com/#!/midnos14/status/1529807813769367552;;;1529807813769367552;
midnos14;zoomviex;;;;;;;;;;;;;Mentions;26/05/2022 12:52;RT @ZoomvieX: @valvesoftware please #SafeTF2 https://t.co/xyR7Q5BwRW;;;safetf2;26/05/2022 12:52;https://twitter.com/#!/midnos14/status/1529807813769367552;;;1529807813769367552;
midnos14;pogo_the_goat;;;;;;;;;;;;;Mentions;26/05/2022 12:53;RT @Pogo_the_goat: Them. Today we only ask for one thing, that you heard our voice and #SafeTF2 from the plague of bots so other people not…;;;safetf2;26/05/2022 12:53;https://twitter.com/#!/midnos14/status/1529807842487808000;;;1529807842487808000;
midnos14;janek_fox;;;;;;;;;;;;;Mentions;26/05/2022 12:53;"RT @Janek_Fox: Repost for #SafeTF2 

#TF2 #tf2pyro #TF2fanart https://t.co/Tu9gd41Jq8";;;safetf2 tf2 tf2pyro tf2fanart;26/05/2022 12:53;https://twitter.com/#!/midnos14/status/1529807898234200067;;;1529807898234200067;
midnos14;thee_kopje;;;;;;;;;;;;;Mentions;26/05/2022 12:53;RT @thee_kopje: #SafeTF2 valve pls fix https://t.co/tteDes8ZcK;;;safetf2;26/05/2022 12:53;https://twitter.com/#!/midnos14/status/1529807957847851008;;;1529807957847851008;
midnos14;derdiedasjan136;;;;;;;;;;;;;Mentions;26/05/2022 12:53;RT @derdiedasjan136: Today is the Day Today we will safe Tf2 Valve cant Ignore us Forever So Help us to Safe tf2 #SafeTF2 #TF2 https://t.co…;;;safetf2 tf2;26/05/2022 12:53;https://twitter.com/#!/midnos14/status/1529808036642099202;;;1529808036642099202;
midnos14;redlix_tf;;;;;;;;;;;;;Mentions;26/05/2022 12:54;RT @redlix_tf: Let’s save this damned game #safetf2 https://t.co/bQWarP3np6;;;safetf2;26/05/2022 12:54;https://twitter.com/#!/midnos14/status/1529808073128296449;;;1529808073128296449;
midnos14;system64exe;;;;;;;;;;;;;Mentions;26/05/2022 12:54;RT @System64exe: #SafeTF2 We want to play with real people, we don’t want bots! https://t.co/kdfB0YXecD;;;safetf2;26/05/2022 12:54;https://twitter.com/#!/midnos14/status/1529808125179600896;;;1529808125179600896;
midnos14;ishipaelmaldito;;;;;;;;;;;;;Mentions;26/05/2022 12:54;"RT @Ishipaelmaldito: Some propaganda here
#SafeTF2 https://t.co/SdEYnKgtfX";;;safetf2;26/05/2022 12:54;https://twitter.com/#!/midnos14/status/1529808232444833793;;;1529808232444833793;
midnos14;some1_peculiar;;;;;;;;;;;;;Mentions;26/05/2022 12:55;"RT @some1_peculiar: #safetf2 
I started to play it only 2 years ago  but I had my first contact
With tf2 As i was about 6 as i watched my o…";;;safetf2;26/05/2022 12:55;https://twitter.com/#!/midnos14/status/1529808373088141318;;;1529808373088141318;
midnos14;osoponso;;;;;;;;;;;;;Mentions;26/05/2022 12:55;"RT @osoponso: Today is the day. Mercenaries, reunite.
#SafeTF2 #safeTF2";;;safetf2 safetf2;26/05/2022 12:55;https://twitter.com/#!/midnos14/status/1529808523332358145;;;1529808523332358145;
dawnmaskedguy;iberrykarsen;;;;;;;;;;;;;Mentions;26/05/2022 13:48;"RT @iBerryKarsen: #safetf2
TF2 is an amazing game and it sucks  to see its default mode basically left to rot with bots
It has amazing char…";;;safetf2;26/05/2022 13:48;https://twitter.com/#!/dawnmaskedguy/status/1529821747955920900;;;1529821747955920900;
harikacaner123;system64exe;;;;;;;;;;;;;Mentions;26/05/2022 13:48;RT @System64exe: #SafeTF2 We want to play with real people, we don’t want bots! https://t.co/kdfB0YXecD;;;safetf2;26/05/2022 13:48;https://twitter.com/#!/harikacaner123/status/1529821852658331652;;;1529821852658331652;
mlpdisneylover;iberrykarsen;;;;;;;;;;;;;Mentions;26/05/2022 13:50;"RT @iBerryKarsen: #safetf2
TF2 is an amazing game and it sucks  to see its default mode basically left to rot with bots
It has amazing char…";;;safetf2;26/05/2022 13:50;https://twitter.com/#!/mlpdisneylover/status/1529822291655151617;;;1529822291655151617;
thicc_viking;thicc_viking;;;;;;;;;;;;;Tweet;26/05/2022 14:03;I've been playing tf2 ever since 2013 and honestly seeing the game slowly dying because of bots is just sad to watc… https://t.co/5iNYyVOhu4;https://twitter.com/i/web/status/1529825580606058497;twitter.com;;26/05/2022 14:03;https://twitter.com/#!/thicc_viking/status/1529825580606058497;;;1529825580606058497;
lukas92690729;lukas92690729;;;;;;;;;;;;;Tweet;26/05/2022 14:09;#safetf2 Llevo jugando este hermoso juego por 4 años puede que no sea el mas pro o no tener tantos cosmeticos pero… https://t.co/Per2zs0Wls;https://twitter.com/i/web/status/1529827061744820226;twitter.com;safetf2;26/05/2022 14:09;https://twitter.com/#!/lukas92690729/status/1529827061744820226;;;1529827061744820226;
matt_sumon;iberrykarsen;;;;;;;;;;;;;Mentions;26/05/2022 14:10;"RT @iBerryKarsen: #safetf2
TF2 is an amazing game and it sucks  to see its default mode basically left to rot with bots
It has amazing char…";;;safetf2;26/05/2022 14:10;https://twitter.com/#!/matt_sumon/status/1529827283124555778;;;1529827283124555778;
nieswillsneeze;nieswillsneeze;;;;;;;;;;;;;Tweet;26/05/2022 14:15;"#SafeTF2 
This game was the reason I installed Steam and I still enjoy it to this day. Many games don't age well bu… https://t.co/LVrUsJ7TMF";https://twitter.com/i/web/status/1529828460780216321;twitter.com;safetf2;26/05/2022 14:15;https://twitter.com/#!/nieswillsneeze/status/1529828460780216321;;;1529828460780216321;
dani751poland;jifferey;;;;;;;;;;;;;Replies to;26/05/2022 14:15;@jifferey Oh and #SafeTF2 gotta get it on top for those hungry journalist's;;;safetf2;26/05/2022 14:15;https://twitter.com/#!/dani751poland/status/1529828532435791873;;;1529828532435791873;1529828170958004225
markhil68152341;markhil68152341;;;;;;;;;;;;;Tweet;26/05/2022 14:17;#safetf2 cmon valve;;;safetf2;26/05/2022 14:17;https://twitter.com/#!/markhil68152341/status/1529829055654141952;;;1529829055654141952;
333ajc2;333ajc2;;;;;;;;;;;;;Tweet;26/05/2022 14:18;"tf2 will be cancelled on march seventh,two thousand and twelve😢;#SafeTF2;miley cyrus https://t.co/oI7k1DCJST";;;safetf2;26/05/2022 14:18;https://twitter.com/#!/333ajc2/status/1529829444969439232;;;1529829444969439232;
kosogore;kosogore;;;;;;;;;;;;;Tweet;26/05/2022 14:29;"Сообщество ТФ2 хочет привлечь внимание к проблеме ботов, существующей уже пару лет.

Вы можете помочь ему с помощью #SafeTF2";;;safetf2;26/05/2022 14:29;https://twitter.com/#!/kosogore/status/1529832000462397441;;;1529832000462397441;
firearmleo28;firearmleo28;;;;;;;;;;;;;Tweet;26/05/2022 14:30;#safetf2;;;safetf2;26/05/2022 14:30;https://twitter.com/#!/firearmleo28/status/1529832437173338112;;;1529832437173338112;
joaquinmaciel_;joaquinmaciel_;;;;;;;;;;;;;Tweet;26/05/2022 14:37;Valve #SafeTF2;;;safetf2;26/05/2022 14:37;https://twitter.com/#!/joaquinmaciel_/status/1529834197413666817;;;1529834197413666817;
mickspy;mickspy;;;;;;;;;;;;;Tweet;26/05/2022 14:40;#SafeTF2 contributin to a hashtag but shoutout to my biggest early memory in gamin when i was on my clunky old lapt… https://t.co/ZCrhvXBSzR;https://twitter.com/i/web/status/1529834775573405699;twitter.com;safetf2;26/05/2022 14:40;https://twitter.com/#!/mickspy/status/1529834775573405699;;;1529834775573405699;
jul4ncrazy;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 14:40;#SafeTF2 @valvesoftware;;;safetf2;26/05/2022 14:40;https://twitter.com/#!/jul4ncrazy/status/1529834933186871301;;;1529834933186871301;
lazycola_;lazycola_;;;;;;;;;;;;;Tweet;26/05/2022 14:40;Tf2 has been through enough, its time to do something, this is from a new player whos love the game to the point we… https://t.co/aMg6Wll9Gx;https://twitter.com/i/web/status/1529834975310360579;twitter.com;;26/05/2022 14:40;https://twitter.com/#!/lazycola_/status/1529834975310360579;;;1529834975310360579;
justtheking1667;justtheking1667;;;;;;;;;;;;;Tweet;26/05/2022 14:43;"📬🤨

There is no pipe bomb in my mailbox tf u on

#SafeTF2";;;safetf2;26/05/2022 14:43;https://twitter.com/#!/justtheking1667/status/1529835526525620225;;;1529835526525620225;
axel7243;axel7243;;;;;;;;;;;;;Tweet;26/05/2022 14:46;Valve, please don't let TF2 go out like this, I have met many wonderful people throughout Team Fortress 2, and it h… https://t.co/iKvmFImBEe;https://twitter.com/i/web/status/1529836382734012417;twitter.com;;26/05/2022 14:46;https://twitter.com/#!/axel7243/status/1529836382734012417;;;1529836382734012417;
kmykolayovych;kmykolayovych;;;;;;;;;;;;;Tweet;26/05/2022 14:48;And please issue a new TF2 comic, please #SafeTF2;;;safetf2;26/05/2022 14:48;https://twitter.com/#!/kmykolayovych/status/1529836891805208576;;;1529836891805208576;
sakurarozu;iberrykarsen;;;;;;;;;;;;;Mentions;26/05/2022 14:51;"RT @iBerryKarsen: #safetf2
TF2 is an amazing game and it sucks  to see its default mode basically left to rot with bots
It has amazing char…";;;safetf2;26/05/2022 14:51;https://twitter.com/#!/sakurarozu/status/1529837604140613632;;;1529837604140613632;
sakurarozu;seriel18;;;;;;;;;;;;;Mentions;26/05/2022 14:51;RT @Seriel18: #SafeTF2 I've been playing this game for a couple years now, and i can't even imagine my life without it. https://t.co/7qJgPi…;;;safetf2;26/05/2022 14:51;https://twitter.com/#!/sakurarozu/status/1529837620343328772;;;1529837620343328772;
number1player7;number1player7;;;;;;;;;;;;;Tweet;26/05/2022 14:53;#SafeTF2;;;safetf2;26/05/2022 14:53;https://twitter.com/#!/number1player7/status/1529838165107822595;;;1529838165107822595;
korkiyes;korkiyes;;;;;;;;;;;;;Tweet;26/05/2022 14:53;#SafeTF2  pls https://t.co/LART3sH4Gl;;;safetf2;26/05/2022 14:53;https://twitter.com/#!/korkiyes/status/1529838179922202624;;;1529838179922202624;
randytheloq;randytheloq;;;;;;;;;;;;;Tweet;26/05/2022 14:57;Por cosas como estas es que me gusta el juego del gordo y sus amigos 2, es un kge de risa csm :v #SafeTF2 https://t.co/sQVKd3sTIJ;;;safetf2;26/05/2022 14:57;https://twitter.com/#!/randytheloq/status/1529839105122750467;;;1529839105122750467;
lil_spaghettini;lil_spaghettini;;;;;;;;;;;;;Tweet;26/05/2022 14:59;#SafeTF2;;;safetf2;26/05/2022 14:59;https://twitter.com/#!/lil_spaghettini/status/1529839645168738304;;;1529839645168738304;
ostlandjihad;liveleakvictim;;;;;;;;;;;;;Replies to;26/05/2022 15:00;@LiveLeakVictim found the bot !!!!!!! #safetf2;;;safetf2;26/05/2022 15:00;https://twitter.com/#!/ostlandjihad/status/1529839994961022977;;;1529839994961022977;1529839783383547906
plzbanme;plzbanme;;;;;;;;;;;;;Tweet;26/05/2022 15:02;The day tf2 went free to play I was all over it. I didn't have much growing up and I was playing a dell computer wi… https://t.co/LCAOqHwcxX;https://twitter.com/i/web/status/1529840469265600513;twitter.com;;26/05/2022 15:02;https://twitter.com/#!/plzbanme/status/1529840469265600513;;;1529840469265600513;
ravagerorr;nyahnyahnikkini;;;;;;;;;;;;;Mentions;26/05/2022 15:03;RT @nyahnyahnikkini: I love tf2. such an amazing and timeless game, my first pc game that got me to where I am now, a full pc gamer and str…;;;;26/05/2022 15:03;https://twitter.com/#!/ravagerorr/status/1529840591487610880;;;1529840591487610880;
hoovyman17;hoovyman17;;;;;;;;;;;;;Tweet;26/05/2022 15:05;"#SafeTF2 
I love this game and it’s brought me so much joy for all these years
Please Valve get rid of these bots";;;safetf2;26/05/2022 15:05;https://twitter.com/#!/hoovyman17/status/1529841192896147457;;;1529841192896147457;
yeimmeleehero;yeimmeleehero;;;;;;;;;;;;;Tweet;26/05/2022 15:06;"I would love to have the TF2 video I am still working done for today cuz of #SafeTF2 but I still don't.
Anyways, lo… https://t.co/LGPOfvqnIu";https://twitter.com/i/web/status/1529841432697118733;twitter.com;safetf2;26/05/2022 15:06;https://twitter.com/#!/yeimmeleehero/status/1529841432697118733;;;1529841432697118733;
memeego;memeego;;;;;;;;;;;;;Tweet;26/05/2022 13:30;#SafeTF2 or I will morb you 😈;;;safetf2;26/05/2022 13:30;https://twitter.com/#!/memeego/status/1529817238169014272;;;1529817238169014272;
shopskib;memeego;;;;;;;;;;;;;Mentions;26/05/2022 15:07;RT @MemeEgo: #SafeTF2 or I will morb you 😈;;;safetf2;26/05/2022 15:07;https://twitter.com/#!/shopskib/status/1529841697273917440;;;1529841697273917440;
hoodiehoot;hoodiehoot;;;;;;;;;;;;;Tweet;26/05/2022 15:09;#SafeTF2 this is a threat;;;safetf2;26/05/2022 15:09;https://twitter.com/#!/hoodiehoot/status/1529842224053239808;;;1529842224053239808;
moneyinflation;peargor;;;;;;;;;;;;;Replies to;26/05/2022 15:19;@Peargor unrelated but #SafeTF2;;;safetf2;26/05/2022 15:19;https://twitter.com/#!/moneyinflation/status/1529844604157145088;;;1529844604157145088;1529636642079838209
vivar7axel;vivar7axel;;;;;;;;;;;;;Tweet;26/05/2022 15:20;Team Fortress 2 is one of the most impactful games I have ever played. Although I was late to the updates back in 2… https://t.co/4DNkb76fXn;https://twitter.com/i/web/status/1529844830972649474;twitter.com;;26/05/2022 15:20;https://twitter.com/#!/vivar7axel/status/1529844830972649474;;;1529844830972649474;
inatinyhotel;inatinyhotel;;;;;;;;;;;;;Tweet;26/05/2022 15:25;@0scopos Why did you make a twitter account just to use the #safetf2? You could've tweeted #shutdowntf2 a while bac… https://t.co/OUy3qBLXGy;https://twitter.com/i/web/status/1529846068036395009;twitter.com;safetf2 shutdowntf2;26/05/2022 15:25;https://twitter.com/#!/inatinyhotel/status/1529846068036395009;;;1529846068036395009;1529845805812793344
folyqe;folyqe;;;;;;;;;;;;;Tweet;26/05/2022 15:25;the game went to shit after the medic update, fuck you robin walker you ruined my life #safetf2;;;safetf2;26/05/2022 15:25;https://twitter.com/#!/folyqe/status/1529846240711680001;;;1529846240711680001;
gamdadragonite;gamdadragonite;;;;;;;;;;;;;Tweet;26/05/2022 15:27;#SafeTF2 I may have joined the party really late (late 2019) i have since grown to love the game very much (maybe a… https://t.co/zzmVo0MzfH;https://twitter.com/i/web/status/1529846793382645764;twitter.com;safetf2;26/05/2022 15:27;https://twitter.com/#!/gamdadragonite/status/1529846793382645764;;;1529846793382645764;
jevilwastaken;jevilwastaken;;;;;;;;;;;;;Tweet;26/05/2022 15:31;#SafeTF2 cool game, so do it;;;safetf2;26/05/2022 15:31;https://twitter.com/#!/jevilwastaken/status/1529847611452178438;;;1529847611452178438;
super_jillop;super_jillop;;;;;;;;;;;;;Tweet;26/05/2022 15:31;#SafeTF2;;;safetf2;26/05/2022 15:31;https://twitter.com/#!/super_jillop/status/1529847716863528960;;;1529847716863528960;
hobozone_;hobozone_;;;;;;;;;;;;;Tweet;26/05/2022 15:33;Ditto. #SafeTF2 https://t.co/SDOM6wOAgY;https://twitter.com/FatboySmough/status/1529844121459900418;twitter.com;safetf2;26/05/2022 15:33;https://twitter.com/#!/hobozone_/status/1529848124876935168;;;1529848124876935168;
boflond;boflond;;;;;;;;;;;;;Tweet;26/05/2022 15:33;I totally played over 5k hrs and haven't touched TF2 in the last four years ..but darn, i still ♥️it. #SafeTF2;;;safetf2;26/05/2022 15:33;https://twitter.com/#!/boflond/status/1529848180245946374;;;1529848180245946374;
hoody_chan2002;_srpelo_;;;;;;;;;;;;;Replies to;26/05/2022 15:34;@_SrPelo_ Same dude, tf2 gave me the ability to clearly learn english more then in school, #SafeTF2 GUYS!!!!❤;;;safetf2;26/05/2022 15:34;https://twitter.com/#!/hoody_chan2002/status/1529848363461623810;;;1529848363461623810;1529841508223959041
deltaforcesreal;deltaforcesreal;;;;;;;;;;;;;Tweet;26/05/2022 15:39;Por favor Apoyen A la Causa #SafeTF2;;;safetf2;26/05/2022 15:39;https://twitter.com/#!/deltaforcesreal/status/1529849633781997575;;;1529849633781997575;
deltaforcesreal;deltaforcesreal;;;;;;;;;;;;;Tweet;26/05/2022 15:39;RT @DeltaForcesREAL: Por favor Apoyen A la Causa #SafeTF2;;;safetf2;26/05/2022 15:39;https://twitter.com/#!/deltaforcesreal/status/1529849681995616257;;;1529849681995616257;
darthvader_8888;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 15:40;Es ist einfach schade, dass @valvesoftware Team Fortress 2 vernachlässigt und nichts gegen die Bots in Casual macht… https://t.co/BRl5qleRFS;https://twitter.com/i/web/status/1529849841794404352;twitter.com;;26/05/2022 15:40;https://twitter.com/#!/darthvader_8888/status/1529849841794404352;;;1529849841794404352;
1624the;valvesoftware;;;;;;;;;;;;;Mentions;26/05/2022 15:40;"RT @PenalozaLao: Este juego significa mucho para todos nosotros, no podemos dejar que muera de esta forma...
#SafeTF2 #Valve @valvesoftware…";;;safetf2 valve;26/05/2022 15:40;https://twitter.com/#!/1624the/status/1529849972081958914;;;1529849972081958914;
1624the;penalozalao;;;;;;;;;;;;;Mentions;26/05/2022 15:40;"RT @PenalozaLao: Este juego significa mucho para todos nosotros, no podemos dejar que muera de esta forma...
#SafeTF2 #Valve @valvesoftware…";;;safetf2 valve;26/05/2022 15:40;https://twitter.com/#!/1624the/status/1529849972081958914;;;1529849972081958914;
palabraprohibi;palabraprohibi;;;;;;;;;;;;;Tweet;26/05/2022 15:49;#SafeTF2 aca entrego mi granito de arena, es ahora o nunca https://t.co/uL24155V6H;;;safetf2;26/05/2022 15:49;https://twitter.com/#!/palabraprohibi/status/1529852287874646018;;;1529852287874646018;
macqueenomoruyi;macqueenomoruyi;;;;;;;;;;;;;Tweet;26/05/2022 15:50;Manage your business like a PRO with SuiteDash, the All-in-One Business Software that empowers collaboration with y… https://t.co/nDZm6f06jY;https://twitter.com/i/web/status/1529852503080243200;twitter.com;;26/05/2022 15:50;https://twitter.com/#!/macqueenomoruyi/status/1529852503080243200;;;1529852503080243200;
_nagarat_;_nagarat_;;;;;;;;;;;;;Tweet;26/05/2022 15:51;#SafeTF2;;;safetf2;26/05/2022 15:51;https://twitter.com/#!/_nagarat_/status/1529852671275978752;;;1529852671275978752;
hellstar_rin;nyahnyahnikkini;;;;;;;;;;;;;Mentions;26/05/2022 15:53;RT @nyahnyahnikkini: I love tf2. such an amazing and timeless game, my first pc game that got me to where I am now, a full pc gamer and str…;;;;26/05/2022 15:53;https://twitter.com/#!/hellstar_rin/status/1529853192061784064;;;1529853192061784064;
dirakial;dirakial;;;;;;;;;;;;;Tweet;26/05/2022 15:57;Saving TF2 by spending Money on MvM Tickets #SafeTF2 https://t.co/GT7HHuTRm5;https://twitch.tv/dirakiaa;twitch.tv;safetf2;26/05/2022 15:57;https://twitter.com/#!/dirakial/status/1529854302059212800;;;1529854302059212800;
justintrombitas;seriel18;;;;;;;;;;;;;Mentions;26/05/2022 13:48;RT @Seriel18: #SafeTF2 I've been playing this game for a couple years now, and i can't even imagine my life without it. https://t.co/7qJgPi…;;;safetf2;26/05/2022 13:48;https://twitter.com/#!/justintrombitas/status/1529821667324702720;;;1529821667324702720;
justintrombitas;iberrykarsen;;;;;;;;;;;;;Mentions;26/05/2022 13:48;"RT @iBerryKarsen: #safetf2
TF2 is an amazing game and it sucks  to see its default mode basically left to rot with bots
It has amazing char…";;;safetf2;26/05/2022 13:48;https://twitter.com/#!/justintrombitas/status/1529821681950150658;;;1529821681950150658;
justintrombitas;facikwacik;;;;;;;;;;;;;Mentions;26/05/2022 13:48;RT @FacikWacik: My favorite game is dying 😪😓 #safetf2 https://t.co/TILdXHeC6Q;;;safetf2;26/05/2022 13:48;https://twitter.com/#!/justintrombitas/status/1529821796207239170;;;1529821796207239170;
justintrombitas;resteria27;;;;;;;;;;;;;Mentions;26/05/2022 15:58;RT @Resteria27: A game as legendary as tf2 does not deserve this kind of treatment—especially when Valve doesn't acknowledge the problem! @…;;;;26/05/2022 15:58;https://twitter.com/#!/justintrombitas/status/1529854612131414017;;;1529854612131414017;
justintrombitas;nyahnyahnikkini;;;;;;;;;;;;;Mentions;26/05/2022 15:59;RT @nyahnyahnikkini: I love tf2. such an amazing and timeless game, my first pc game that got me to where I am now, a full pc gamer and str…;;;;26/05/2022 15:59;https://twitter.com/#!/justintrombitas/status/1529854626870218752;;;1529854626870218752;
khaki_jeanart;faceit;;;;;;;;;;;;;Replies to;26/05/2022 15:59;@FACEIT I lived through this game, for a big while. I began playing it when it became free after several months. It… https://t.co/X22aHjG6Dr;https://twitter.com/i/web/status/1529854702418108418;twitter.com;;26/05/2022 15:59;https://twitter.com/#!/khaki_jeanart/status/1529854702418108418;;;1529854702418108418;1529851991907876869
