;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
gd0ud;khaki_jeanart;;;;;;;;;;;;;Mentions;26/05/2022 06:24;RT @Khaki_JeanArt: I've done some SFM posters in my spare time for the past year or two, such as there. I enjoyed making them along with pl…;;;;26/05/2022 06:24;https://twitter.com/#!/gd0ud/status/1529710152873820160;;;1529710152873820160;
rubysunseto;khaki_jeanart;;;;;;;;;;;;;Mentions;26/05/2022 06:25;RT @Khaki_JeanArt: I've done some SFM posters in my spare time for the past year or two, such as there. I enjoyed making them along with pl…;;;;26/05/2022 06:25;https://twitter.com/#!/rubysunseto/status/1529710276244869121;;;1529710276244869121;
isabourian;safemoon;;;;;;;;;;;;;Mentions;26/05/2022 06:34;@MBaggalasghari @MamiGolpa @safemoon #SafeTF2 https://t.co/stp7mvwaG7;;;safetf2;26/05/2022 06:34;https://twitter.com/#!/isabourian/status/1529712640695513088;;;1529712640695513088;1529711878506745857
isabourian;mamigolpa;;;;;;;;;;;;;Mentions;26/05/2022 06:34;@MBaggalasghari @MamiGolpa @safemoon #SafeTF2 https://t.co/stp7mvwaG7;;;safetf2;26/05/2022 06:34;https://twitter.com/#!/isabourian/status/1529712640695513088;;;1529712640695513088;1529711878506745857
isabourian;mbaggalasghari;;;;;;;;;;;;;Replies to;26/05/2022 06:34;@MBaggalasghari @MamiGolpa @safemoon #SafeTF2 https://t.co/stp7mvwaG7;;;safetf2;26/05/2022 06:34;https://twitter.com/#!/isabourian/status/1529712640695513088;;;1529712640695513088;1529711878506745857
snastheweirdone;snastheweirdone;;;;;;;;;;;;;Tweet;26/05/2022 06:41;#SafeTF2 https://t.co/H21d5b0WJU;;;safetf2;26/05/2022 06:41;https://twitter.com/#!/snastheweirdone/status/1529714444317736961;;;1529714444317736961;
cyber_pixeeel;mrgameandplay2;;;;;;;;;;;;;Mentions;26/05/2022 07:00;"RT @Mrgameandplay2: Quiza no tengo mas de 4000 horas en tf2 pero aun asi este juego es especial para mi..

 #SafeTF2 https://t.co/KmQWa2sA2i";;;safetf2;26/05/2022 07:00;https://twitter.com/#!/cyber_pixeeel/status/1529719209231634432;;;1529719209231634432;
98tremor;98tremor;;;;;;;;;;;;;Tweet;26/05/2022 07:14;"#safetf2
It's gone beyond TF2 and is now a reputational threat to VALVE";;;safetf2;26/05/2022 07:14;https://twitter.com/#!/98tremor/status/1529722578457214977;;;1529722578457214977;
brahmfunny;brahmfunny;;;;;;;;;;;;;Tweet;26/05/2022 07:35;We must #SafeTF2;;;safetf2;26/05/2022 07:35;https://twitter.com/#!/brahmfunny/status/1529727926199287814;;;1529727926199287814;
janekkotlet;janekkotlet;;;;;;;;;;;;;Tweet;26/05/2022 07:38;#safetf2 i tyle;;;safetf2;26/05/2022 07:38;https://twitter.com/#!/janekkotlet/status/1529728746109997063;;;1529728746109997063;
bananajon123;bananajon123;;;;;;;;;;;;;Tweet;26/05/2022 07:50;#savetf2 #SafeTF2;;;savetf2 safetf2;26/05/2022 07:50;https://twitter.com/#!/bananajon123/status/1529731610752323586;;;1529731610752323586;
ar4ys_;ar4ys_;;;;;;;;;;;;;Tweet;26/05/2022 07:59;"#SafeTF2
The game that I love the most is, at the same time, the game that I don't want to play the most. Why? Beca… https://t.co/b08LLZljTj";https://twitter.com/i/web/status/1529734005670780929;twitter.com;safetf2;26/05/2022 07:59;https://twitter.com/#!/ar4ys_/status/1529734005670780929;;;1529734005670780929;
tntast1;tntast1;;;;;;;;;;;;;Tweet;26/05/2022 08:24;#SafeTF2  i love this game thats propably only purpose why i have friends;;;safetf2;26/05/2022 08:24;https://twitter.com/#!/tntast1/status/1529740295365066752;;;1529740295365066752;
strikerprotogen;derdiedasjan136;;;;;;;;;;;;;Mentions;26/05/2022 08:26;RT @derdiedasjan136: Today is the Day Today we will safe Tf2 Valve cant Ignore us Forever So Help us to Safe tf2 #SafeTF2 #TF2 https://t.co…;;;safetf2 tf2;26/05/2022 08:26;https://twitter.com/#!/strikerprotogen/status/1529740792394178560;;;1529740792394178560;
pannalesnik3;pannalesnik3;;;;;;;;;;;;;Tweet;26/05/2022 08:29;#SafeTF2 I love Tf2 becuse its great game with amazing characters and creativity,that this game has;;;safetf2;26/05/2022 08:29;https://twitter.com/#!/pannalesnik3/status/1529741426799558656;;;1529741426799558656;
aqua2701;aqua2701;;;;;;;;;;;;;Tweet;26/05/2022 08:33;Hopefully they will do something #SafeTF2;;;safetf2;26/05/2022 08:33;https://twitter.com/#!/aqua2701/status/1529742547169550336;;;1529742547169550336;
zack1764694126;zack1764694126;;;;;;;;;;;;;Tweet;26/05/2022 08:34;#SafeTF2 una protesta pacifica per salvare uno dei giochi più belli che io abbia mai giocato che sta in uno stato p… https://t.co/XqMdRhce46;https://twitter.com/i/web/status/1529742684994273280;twitter.com;safetf2;26/05/2022 08:34;https://twitter.com/#!/zack1764694126/status/1529742684994273280;;;1529742684994273280;
marcel25419707;marcel25419707;;;;;;;;;;;;;Tweet;26/05/2022 08:42;#SafeTF2 and #FreeFloppa;;;safetf2 freefloppa;26/05/2022 08:42;https://twitter.com/#!/marcel25419707/status/1529744899561734145;;;1529744899561734145;
